area,rank,title
Semantic segmentation,171,Pose2Seg: Detection Free Human Instance Segmentation
Semantic segmentation,172,DLTK: State of the Art Reference Implementations for Deep Learning on Medical Images
Semantic segmentation,173,The Lovász-Softmax loss: A tractable surrogate for the optimization of the intersection-over-union measure in neural networks
Semantic segmentation,174,Optimal Transport for Multi-source Domain Adaptation under Target Shift
Semantic segmentation,175,PartNet: A Large-scale Benchmark for Fine-grained and Hierarchical Part-level 3D Object Understanding
Semantic segmentation,176,PointCNN: Convolution On X-Transformed Points
Semantic segmentation,177,In-Place Activated BatchNorm for Memory-Optimized Training of DNNs
Semantic segmentation,178,Autonomous Driving in Reality with Reinforcement Learning and Image Translation
Semantic segmentation,179,Deep clustering: Discriminative embeddings for segmentation and separation
Semantic segmentation,180,Vision Transformers for Dense Prediction
Semantic segmentation,181,Hypersim: A Photorealistic Synthetic Dataset for Holistic Indoor Scene Understanding
Semantic segmentation,182,Panoptic nuScenes: A Large-Scale Benchmark for LiDAR Panoptic Segmentation and Tracking
Semantic segmentation,183,ADVENT: Adversarial Entropy Minimization for Domain Adaptation in Semantic Segmentation
Semantic segmentation,184,Maximum Classifier Discrepancy for Unsupervised Domain Adaptation
Semantic segmentation,185,CyCADA: Cycle-Consistent Adversarial Domain Adaptation
Semantic segmentation,186,Boundary-Aware Segmentation Network for Mobile and Web Applications
Semantic segmentation,187,Bayesian SegNet: Model Uncertainty in Deep Convolutional Encoder-Decoder Architectures for Scene Understanding
Semantic segmentation,188,Retina U-Net: Embarrassingly Simple Exploitation of Segmentation Supervision for Medical Object Detection
Semantic segmentation,189,Dynamic Graph CNN for Learning on Point Clouds
Semantic segmentation,190,Partial Convolution based Padding
Semantic segmentation,191,Cascade R-CNN: High Quality Object Detection and Instance Segmentation
Semantic segmentation,192,TernausNet: U-Net with VGG11 Encoder Pre-Trained on ImageNet for Image Segmentation
Semantic segmentation,193,Deep Snake for Real-Time Instance Segmentation
Semantic segmentation,194,Global Context for Convolutional Pose Machines
Semantic segmentation,195,GIMP-ML: Python Plugins for using Computer Vision Models in GIMP
Semantic segmentation,196,BlenderProc
Semantic segmentation,197,Pyramid Vision Transformer: A Versatile Backbone for Dense Prediction without Convolutions
Semantic segmentation,198,YolactEdge: Real-time Instance Segmentation on the Edge
Semantic segmentation,199,Enforcing temporal consistency in Deep Learning segmentation of brain MR images
Semantic segmentation,200,Large Kernel Matters -- Improve Semantic Segmentation by Global Convolutional Network
Image classification,1,Naive-Student: Leveraging Semi-Supervised Learning in Video Sequences for Urban Scene Segmentation
Image classification,2,Searching for MobileNetV3
Image classification,3,FEELVOS: Fast End-to-End Embedding Learning for Video Object Segmentation
Image classification,4,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation
Image classification,5,Searching for Efficient Multi-Scale Architectures for Dense Image Prediction
Image classification,6,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation
Image classification,7,MobileNetV2: Inverted Residuals and Linear Bottlenecks
Image classification,8,Rethinking Atrous Convolution for Semantic Image Segmentation
Image classification,9,Mask R-CNN
Image classification,10,Pyramid Scene Parsing Network
Image classification,11,"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs"
Image classification,12,Deep Residual Learning for Image Recognition
Image classification,13,ParseNet: Looking Wider to See Better
Image classification,14,Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs
Image classification,15,The surprising impact of mask-head architecture on novel class segmentation
Image classification,16,BEiT: BERT Pre-Training of Image Transformers
Image classification,17,SegFormer: Simple and Efficient Design for Semantic Segmentation with Transformers
Image classification,18,Learning to Segment Every Thing
Image classification,19,PointRend: Image Segmentation as Rendering
Image classification,20,TensorMask: A Foundation for Dense Object Segmentation
Image classification,21,Panoptic Feature Pyramid Networks
Image classification,22,Panoptic-DeepLab
Image classification,23,Pointly-Supervised Instance Segmentation
Image classification,24,Path Aggregation Network for Instance Segmentation
Image classification,25,Seesaw Loss for Long-Tailed Instance Segmentation
Image classification,26,FCOS: A simple and strong anchor-free object detector
Image classification,27,DetectoRS: Detecting Objects with Recursive Feature Pyramid and Switchable Atrous Convolution
Image classification,28,A novel Region of Interest Extraction Layer for Instance Segmentation
Image classification,29,ResNeSt: Split-Attention Networks
Image classification,30,CentripetalNet: Pursuing High-quality Keypoint Pairs for Object Detection
Image classification,31,CBNet: A Novel Composite Backbone Network Architecture for Object Detection
Image classification,32,Deep High-Resolution Representation Learning for Visual Recognition
Image classification,33,MMDetection: Open MMLab Detection Toolbox and Benchmark
Image classification,34,CARAFE: Content-Aware ReAssembly of FEatures
Image classification,35,YOLACT: Real-time Instance Segmentation
Image classification,36,Mask Scoring R-CNN
Image classification,37,Hybrid Task Cascade for Instance Segmentation
Image classification,38,"Deformable ConvNets v2: More Deformable, Better Results"
Image classification,39,"How to train your ViT? Data, Augmentation, and Regularization in Vision Transformers"
Image classification,40,XCiT: Cross-Covariance Image Transformers
Image classification,41,Twins: Revisiting the Design of Spatial Attention in Vision Transformers
Image classification,42,Co-Scale Conv-Attentional Image Transformers
Image classification,43,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows
Image classification,44,Scaling Local Self-Attention for Parameter Efficient Visual Backbones
Image classification,45,LambdaNetworks: Modeling Long-Range Interactions Without Attention
Image classification,46,RepVGG: Making VGG-style ConvNets Great Again
Image classification,47,Evolving Normalization-Activation Layers
Image classification,48,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks
Image classification,49,Bag of Tricks for Image Classification with Convolutional Neural Networks
Image classification,50,Fully Convolutional Networks for Semantic Segmentation
Image classification,51,FDA: Fourier Domain Adaptation for Semantic Segmentation
Image classification,52,Unsupervised Learning of Object Keypoints for Perception and Control
Image classification,53,Is Heuristic Sampling Necessary in Training Deep Object Detectors?
Image classification,54,Video-to-Video Synthesis
Image classification,55,Emerging Properties in Self-Supervised Vision Transformers
Image classification,56,Rethinking ImageNet Pre-training
Image classification,57,Learning Strict Identity Mappings in Deep Residual Networks
Image classification,58,Self-Supervised Learning with Swin Transformers
Image classification,59,High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs
Image classification,60,Micro-Batch Training with Batch-Channel Normalization and Weight Standardization
Image classification,61,U-Net: Convolutional Networks for Biomedical Image Segmentation
Image classification,62,Lite-HRNet: A Lightweight High-Resolution Network
Image classification,63,PaddleSeg: A High-Efficient Development Toolkit for Image Segmentation
Image classification,64,Attention-guided Context Feature Pyramid Network for Object Detection
Image classification,65,SOLOv2: Dynamic and Fast Instance Segmentation
Image classification,66,SOLO: Segmenting Objects by Locations
Image classification,67,HarDNet: A Low Memory Traffic Network
Image classification,68,High-Resolution Representations for Labeling Pixels and Regions
Image classification,69,FCOS: Fully Convolutional One-Stage Object Detection
Image classification,70,Microsoft COCO: Common Objects in Context
Image classification,71,Simple Training Strategies and Model Scaling for Object Detection
Image classification,72,Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation
Image classification,73,Rethinking Pre-training and Self-training
Image classification,74,"Fashionpedia: Ontology, Segmentation, and an Attribute Localization Dataset"
Image classification,75,ShapeMask: Learning to Segment Novel Objects by Refining Shape Priors
Image classification,76,UNet++: A Nested U-Net Architecture for Medical Image Segmentation
Image classification,77,Recalibrating Fully Convolutional Networks with Spatial and Channel 'Squeeze & Excitation' Blocks
Image classification,78,Unified Perceptual Parsing for Scene Understanding
Image classification,79,Semantic Understanding of Scenes through the ADE20K Dataset
Image classification,80,YOLACT++: Better Real-time Instance Segmentation
Image classification,81,Deformable Convolutional Networks
Image classification,82,LinkNet: Exploiting Encoder Representations for Efficient Semantic Segmentation
Image classification,83,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation
Image classification,84,Learning to Refine Object Segments
Image classification,85,Tencent ML-Images: A Large-Scale Multi-Label Image Database for Visual Representation Learning
Image classification,86,Revisiting Unreasonable Effectiveness of Data in Deep Learning Era
Image classification,87,EdgeFlow: Achieving Practical Interactive Segmentation with Edge-Guided Flow
Image classification,88,Rethinking BiSeNet For Real-time Semantic Segmentation
Image classification,89,Rethinking Semantic Segmentation from a Sequence-to-Sequence Perspective with Transformers
Image classification,90,Improving Semantic Segmentation via Decoupled Body and Edge Supervision
Image classification,91,Disentangled Non-Local Neural Networks
Image classification,92,Hierarchical Multi-Scale Attention for Semantic Segmentation
Image classification,93,UNet 3+: A Full-Scale Connected UNet for Medical Image Segmentation
Image classification,94,BiSeNet V2: Bilateral Network with Guided Aggregation for Real-time Semantic Segmentation
Image classification,95,"Panoptic-DeepLab: A Simple, Strong, and Fast Baseline for Bottom-Up Panoptic Segmentation"
Image classification,96,Segmentation Transformer: Object-Contextual Representations for Semantic Segmentation
Image classification,97,Asymmetric Non-local Neural Networks for Semantic Segmentation
Image classification,98,Expectation-Maximization Attention Networks for Semantic Segmentation
Image classification,99,Interlaced Sparse Self-Attention for Semantic Segmentation
Image classification,100,Gated-SCNN: Gated Shape CNNs for Semantic Segmentation
Image classification,101,Fast-SCNN: Fast Semantic Segmentation Network
Image classification,102,Dual Attention Network for Scene Segmentation
Image classification,103,Attention U-Net: Learning Where to Look for the Pancreas
Image classification,104,CCNet: Criss-Cross Attention for Semantic Segmentation
Image classification,105,OCNet: Object Context Network for Scene Parsing
Image classification,106,PSANet: Point-wise Spatial Attention Network for Scene Parsing
Image classification,107,Context Encoding for Semantic Segmentation
Image classification,108,Efficient Attention: Attention with Linear Complexities
Image classification,109,PP-LCNet: A Lightweight CPU Convolutional Neural Network
Image classification,110,Beyond Self-Supervision: A Simple Yet Effective Network Distillation Alternative to Improve Backbones
Image classification,111,HS-ResNet: Hierarchical-Split Block on Convolutional Neural Network
Image classification,112,Rethinking Channel Dimensions for Efficient Model Design
Image classification,113,GridMask Data Augmentation
Image classification,114,Hide-and-Seek: A Data Augmentation Technique for Weakly-Supervised Localization and Beyond
Image classification,115,Recovering Realistic Texture in Image Super-resolution by Deep Spatial Feature Transform
Image classification,116,BoxInst: High-Performance Instance Segmentation with Box Annotations
Image classification,117,Mask Encoding for Single Shot Instance Segmentation
Image classification,118,Conditional Convolutions for Instance Segmentation
Image classification,119,BlendMask: Top-Down Meets Bottom-Up for Instance Segmentation
Image classification,120,Segmentation Loss Odyssey
Image classification,121,UNETR: Transformers for 3D Medical Image Segmentation
Image classification,122,Contextual Transformer Networks for Visual Recognition
Image classification,123,EPSANet: An Efficient Pyramid Squeeze Attention Block on Convolutional Neural Network
Image classification,124,RepMLP: Re-parameterizing Convolutions into Fully-connected Layers for Image Recognition
Image classification,125,Beyond Self-attention: External Attention using Two Linear Layers for Visual Tasks
Image classification,126,SA-Net: Shuffle Attention for Deep Convolutional Neural Networks
Image classification,127,SEN12MS -- A Curated Dataset of Georeferenced Multi-Spectral Sentinel-1/2 Imagery for Deep Learning and Data Fusion
Image classification,128,Improving Convolutional Networks With Self-Calibrated Convolutions
Image classification,129,SINet: Extreme Lightweight Portrait Segmentation Networks with Spatial Squeeze Modules and Information Blocking Decoder
Image classification,130,Feature Pyramid Encoding Network for Real-time Semantic Segmentation
Image classification,131,DABNet: Depth-wise Asymmetric Bottleneck for Real-time Semantic Segmentation
Image classification,132,ESNet: An Efficient Symmetric Network for Real-time Semantic Segmentation
Image classification,133,DiCENet: Dimension-wise Convolutions for Efficient Networks
Image classification,134,LEDNet: A Lightweight Encoder-Decoder Network for Real-Time Semantic Segmentation
Image classification,135,An Energy and GPU-Computation Efficient Backbone Network for Real-Time Object Detection
Image classification,136,"ESPNetv2: A Light-weight, Power Efficient, and General Purpose Convolutional Neural Network"
Image classification,137,CGNet: A Light-weight Context Guided Network for Semantic Segmentation
Image classification,138,Efficient Dense Modules of Asymmetric Convolution for Real-Time Semantic Segmentation
Image classification,139,BiSeNet: Bilateral Segmentation Network for Real-time Semantic Segmentation
Image classification,140,ContextNet: Exploring Context and Detail for Semantic Segmentation in Real-time
Image classification,141,ERFNet: Efficient Residual Factorized ConvNet for Real-time Semantic Segmentation
Image classification,142,Dilated Residual Networks
Image classification,143,ICNet for Real-Time Semantic Segmentation on High-Resolution Images
Image classification,144,ENet: A Deep Neural Network Architecture for Real-Time Semantic Segmentation
Image classification,145,SegNet: A Deep Convolutional Encoder-Decoder Architecture for Image Segmentation
Image classification,146,Fully Convolutional Instance-aware Semantic Segmentation
Image classification,147,Rich feature hierarchies for accurate object detection and semantic segmentation
Image classification,148,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space
Image classification,149,Automated Design of Deep Learning Methods for Biomedical Image Segmentation
Image classification,150,COCO-Stuff: Thing and Stuff Classes in Context
Image classification,151,Co-Occurrent Features in Semantic Segmentation
Image classification,152,Generating Masks from Boxes by Mining Spatio-Temporal Consistencies in Videos
Image classification,153,Learning What to Learn for Video Object Segmentation
Image classification,154,Towards End-to-End Lane Detection: an Instance Segmentation Approach
Image classification,155,"DeepFashion2: A Versatile Benchmark for Detection, Pose Estimation, Segmentation and Re-Identification of Clothing Images"
Image classification,156,Recurrent Residual Convolutional Neural Network based on U-Net (R2U-Net) for Medical Image Segmentation
Image classification,157,Temporal RoI Align for Video Object Recognition
Image classification,158,Polarized Self-Attention: Towards High-quality Pixel-wise Regression
Image classification,159,VOLO: Vision Outlooker for Visual Recognition
Image classification,160,3D Semantic Segmentation with Submanifold Sparse Convolutional Networks
Image classification,161,UNet++: Redesigning Skip Connections to Exploit Multiscale Features in Image Segmentation
Image classification,162,ChainerCV: a Library for Deep Learning in Computer Vision
Image classification,163,Atlas: End-to-End 3D Scene Reconstruction from Posed Images
Image classification,164,What Makes for Good Views for Contrastive Learning?
Image classification,165,Improving Semantic Segmentation via Video Propagation and Label Relaxation
Image classification,166,4D Spatio-Temporal ConvNets: Minkowski Convolutional Neural Networks
Image classification,167,Rethinking Self-supervised Correspondence Learning: A Video Frame-level Similarity Perspective
Image classification,168,Learning a Discriminative Feature Network for Semantic Segmentation
Image classification,169,Conditional Random Fields as Recurrent Neural Networks
Image classification,170,Understanding Humans in Crowded Scenes: Deep Nested Adversarial Learning and A New Benchmark for Multi-Human Parsing
Image classification,171,Pose2Seg: Detection Free Human Instance Segmentation
Image classification,172,DLTK: State of the Art Reference Implementations for Deep Learning on Medical Images
Image classification,173,The Lovász-Softmax loss: A tractable surrogate for the optimization of the intersection-over-union measure in neural networks
Image classification,174,Optimal Transport for Multi-source Domain Adaptation under Target Shift
Image classification,175,PartNet: A Large-scale Benchmark for Fine-grained and Hierarchical Part-level 3D Object Understanding
Image classification,176,PointCNN: Convolution On X-Transformed Points
Image classification,177,In-Place Activated BatchNorm for Memory-Optimized Training of DNNs
Image classification,178,Autonomous Driving in Reality with Reinforcement Learning and Image Translation
Image classification,179,Deep clustering: Discriminative embeddings for segmentation and separation
Image classification,180,Vision Transformers for Dense Prediction
